sample,super_pop,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
HG01598,EAS,-133.54305,184.2188,-7.0612803,-39.246666,44.093914,-0.1969831,6.9643435,1.3899492,-3.9189594,2.5219939,-16.843466,-1.7476918
HG01599,EAS,-132.41728,183.92174,-4.3580256,-38.760693,44.80695,-1.6673046,6.6674566,-3.1780503,-0.434061,5.076616,-6.1384993,-2.116886
HG01600,EAS,-131.91196,186.37164,-6.6421123,-38.769928,42.29278,-1.8999283,5.551946,-1.6595418,1.7203836,-0.061155852,-10.103131,1.1461254
HG01602,EUR,-86.09133,-145.82658,-31.509762,-53.26867,6.3409925,0.8118916,-19.86209,2.423779,0.80060595,-1.9714248,-5.0031366,2.1650124
HG01603,EUR,-88.37342,-146.98576,-30.435537,-55.62092,7.371079,0.8496501,-27.553877,2.4938438,0.6141366,-2.9424949,2.258485,-2.6916084
HG01605,EUR,-91.700195,-149.29642,-32.956818,-52.66661,6.500076,3.0210757,-23.374681,3.9771101,-0.5059502,-2.0223012,0.66613364,-5.325403
HG01606,EUR,-93.22041,-149.34995,-32.376072,-54.62025,4.4383173,1.7191569,-19.943136,7.6520886,-0.9157243,1.2703177,3.04381,-1.5943002
HG01607,EUR,-92.27654,-147.60802,-30.18139,-50.822845,6.398055,-2.4579077,-25.42251,5.6480846,4.8702083,-0.16044001,1.068605,-5.7745733
HG01608,EUR,-89.016075,-145.80974,-34.55666,-54.441067,7.501766,0.40297592,-29.467909,6.1309576,-5.8749766,-1.1757007,5.9141,3.5629668
HG01610,EUR,-88.228806,-146.35979,-32.857304,-55.90744,5.5576525,0.24455759,-28.341335,4.5083184,-4.7806005,-8.162816,-1.9515916,8.267395
HG01612,EUR,-84.143974,-148.63931,-31.508358,-56.62311,6.5309925,1.0980262,-22.7451,1.6304388,4.461898,-10.488818,0.64088273,2.977497
HG01613,EUR,-92.20927,-148.0621,-28.723948,-54.633984,5.735833,0.79699755,-28.031649,3.3040438,6.476437,-1.99002,-1.3764876,0.4119448
HG01615,EUR,-92.00133,-148.2579,-29.652912,-54.767326,1.31637,3.6617973,-23.184399,5.0769744,-5.6257014,1.0779186,2.776481,-4.1371927
HG01617,EUR,-89.90966,-143.47191,-31.76116,-54.49721,5.0605755,1.9447569,-26.470287,7.520791,-2.1689167,-3.405635,-4.963878,-2.008673
HG01618,EUR,-90.924934,-143.56537,-35.377144,-48.04728,4.5624995,1.8373699,-26.39414,5.083899,-5.7574987,-1.2441953,3.0400867,3.3235261
HG01619,EUR,-90.26079,-148.02443,-28.18754,-52.21097,6.5819016,0.45273453,-24.853191,4.329146,-4.6923933,-3.4108407,4.6607447,-3.1571534
HG01620,EUR,-87.5099,-144.34207,-32.915436,-52.928528,3.9686508,1.9897205,-27.61429,7.038204,-2.3163948,1.2583787,0.7057023,-1.1624478
HG01623,EUR,-85.35358,-144.55872,-32.34567,-54.501293,5.0726557,0.6726734,-29.985638,4.893633,1.1742679,-0.71975946,-10.164033,0.7130725
HG01624,EUR,-88.209656,-145.44547,-30.359442,-54.869156,8.1425705,1.3428034,-35.940113,5.3108454,-3.735052,1.6314721,-4.1155243,3.0203152
HG01625,EUR,-92.34234,-148.02719,-32.683685,-54.738457,2.5935235,0.61948913,-20.132229,6.3780985,1.4687116,-1.0839319,3.8069208,-4.4918184
HG01626,EUR,-86.682236,-140.87383,-27.919302,-52.586845,6.5073614,1.5300279,-32.079346,4.313162,0.8147886,3.2779295,5.690472,-0.015210296
HG01628,EUR,-69.934044,-139.53026,-28.096079,-49.27653,9.90843,0.27869275,-36.149216,4.0731964,-0.89974517,-5.379692,-3.342402,6.0152764
HG01630,EUR,-76.98496,-142.69185,-28.63231,-53.255924,5.9109383,2.268057,-35.593018,2.696007,1.6403278,-5.2343307,5.74961,2.6497
HG01631,EUR,-93.28076,-151.11516,-30.069916,-53.371407,7.1013827,1.0507638,-29.593765,7.4598837,-0.43699124,3.238364,-0.7173404,3.85121
HG01632,EUR,-89.73888,-147.51843,-30.685852,-55.614887,4.297439,3.6821563,-24.77233,3.4469068,3.0722609,-5.1524982,-4.4031253,-2.288951
HG01668,EUR,-83.79301,-142.28499,-29.42715,-48.9507,7.091683,2.3013124,-16.378622,1.935285,3.0140796,-6.2703633,2.1358902,-7.7229743
HG01669,EUR,-75.934296,-142.0369,-30.547054,-53.63118,5.3709517,1.5469432,-22.972132,5.353323,-3.360148,-3.5145495,-5.9147243,6.2507734
HG01670,EUR,-89.4122,-149.06,-31.4062,-55.577183,3.402324,1.1709247,-26.553444,2.678186,-0.6714412,-2.0075517,5.541703,-0.7424012
HG01672,EUR,-91.74928,-148.4132,-33.349667,-50.52936,5.2307506,-1.8992125,-19.3332,3.771454,2.069227,1.2884772,-0.12531278,5.7934017
HG01673,EUR,-92.91888,-149.65707,-33.378403,-53.359543,5.81134,1.61342,-28.272945,7.587832,-0.6093581,0.22320797,7.345132,-2.1898685
HG01675,EUR,-93.20095,-148.31073,-31.782734,-56.64139,2.6158516,-0.9364925,-30.173727,7.5932455,-1.6897182,-0.4083723,1.5602959,-0.6290028
HG01676,EUR,-93.62634,-151.49693,-37.37653,-56.415707,5.3387036,1.9437102,-25.063461,5.5113025,-1.9448307,-1.0879669,-4.409984,6.952077
HG01678,EUR,-93.91031,-147.90024,-32.538837,-55.446945,7.588267,1.1497855,-27.89531,3.9950972,-5.241746,-0.2528757,-6.7279296,3.3112364
HG01679,EUR,-90.12021,-148.4677,-33.478775,-56.156986,6.6007676,1.7615186,-28.060991,3.7609308,1.9618345,0.3622487,0.137341,0.440594
HG01680,EUR,-90.86219,-148.30257,-35.313305,-55.85168,6.4246554,2.145249,-21.580107,2.8883352,0.0864726,-5.0088363,0.20330176,1.8452252
HG01682,EUR,-94.602455,-152.0769,-29.517855,-55.688137,5.001994,1.5078552,-29.53543,5.76658,-0.46367863,-0.09123111,6.7765074,-3.2989552
HG01684,EUR,-93.95758,-150.51682,-33.18516,-54.813442,1.4743475,0.6304979,-26.475914,6.1515727,-2.498635,3.6460211,-6.898022,2.0184226
HG01685,EUR,-86.641945,-144.63474,-28.897709,-52.5641,5.4308834,1.387695,-25.023666,2.3822017,-2.3874638,-1.4877232,-10.913906,7.4194255
HG01686,EUR,-89.4078,-146.5582,-31.320837,-52.383118,5.132613,2.206164,-18.60158,2.233872,-1.3960893,2.0768752,2.961463,-4.6334934
HG01694,EUR,-76.17829,-141.45294,-27.94741,-52.718956,5.448418,0.774773,-33.643612,4.2286296,-3.476171,-5.3343406,1.018712,0.7320199
HG01695,EUR,-76.44671,-138.97238,-30.22489,-52.860607,5.559761,1.88345,-30.063686,4.271436,-8.109649,-3.5663145,-6.469286,-3.661203
